[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 117 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 118 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 119 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 120 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 121 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 122 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 123 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 124 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 125 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 126 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 127 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 128 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 129 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 130 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 131 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 132 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 133 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 134 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 135 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 136 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 137 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 138 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 139 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 140 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 141 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 142 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 143 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 144 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 145 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 146 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 147 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 148 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 149 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 150 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 151 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 152 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 153 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 154 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 155 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 156 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 157 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 158 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 159 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 160 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 161 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 162 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 163 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 164 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 165 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 166 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 167 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 168 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 169 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 170 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 171 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 172 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 173 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 174 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 175 veses
[14/07/2016 17:24:15] SelecionarTuplas.java - testarMutantes() - entrou resultset 176 veses
